Time,Verhicle Numbers(t),Verhicle Numbers(t-1),Verhicle Numbers(t-2),Verhicle Numbers(t-3),Verhicle Numbers(t-4)
2021-07-02 00:40:00,706,274,927,538,427
2021-07-02 00:45:00,156,706,274,927,538
2021-07-02 00:50:00,330,156,706,274,927
2021-07-02 00:55:00,584,330,156,706,274
2021-07-02 01:00:00,36,584,330,156,706
2021-07-02 01:05:00,86,36,584,330,156
2021-07-02 01:10:00,430,86,36,584,330
2021-07-02 01:15:00,322,430,86,36,584
2021-07-02 01:20:00,524,322,430,86,36
2021-07-02 01:25:00,196,524,322,430,86
2021-07-02 01:30:00,484,196,524,322,430
2021-07-02 01:35:00,983,484,196,524,322
2021-07-02 01:40:00,738,983,484,196,524
2021-07-02 01:45:00,592,738,983,484,196
2021-07-02 01:50:00,986,592,738,983,484
2021-07-02 01:55:00,17,986,592,738,983
2021-07-02 02:00:00,141,17,986,592,738
2021-07-02 02:05:00,974,141,17,986,592
2021-07-02 02:10:00,903,974,141,17,986
2021-07-02 02:15:00,82,903,974,141,17
2021-07-02 02:20:00,470,82,903,974,141
2021-07-02 02:25:00,585,470,82,903,974
2021-07-02 02:30:00,419,585,470,82,903
2021-07-02 02:35:00,999,419,585,470,82
2021-07-02 02:40:00,577,999,419,585,470
2021-07-02 02:45:00,956,577,999,419,585
2021-07-02 02:50:00,911,956,577,999,419
2021-07-02 02:55:00,930,911,956,577,999
2021-07-02 03:00:00,735,930,911,956,577
2021-07-02 03:05:00,476,735,930,911,956
2021-07-02 03:10:00,257,476,735,930,911
2021-07-02 03:15:00,858,257,476,735,930
2021-07-02 03:20:00,201,858,257,476,735
2021-07-02 03:25:00,318,201,858,257,476
2021-07-02 03:30:00,878,318,201,858,257
2021-07-02 03:35:00,19,878,318,201,858
2021-07-02 03:40:00,437,19,878,318,201
2021-07-02 03:45:00,142,437,19,878,318
2021-07-02 03:50:00,864,142,437,19,878
2021-07-02 03:55:00,157,864,142,437,19
2021-07-02 04:00:00,592,157,864,142,437
2021-07-02 04:05:00,509,592,157,864,142
2021-07-02 04:10:00,8,509,592,157,864
2021-07-02 04:15:00,633,8,509,592,157
2021-07-02 04:20:00,708,633,8,509,592
2021-07-02 04:25:00,940,708,633,8,509
2021-07-02 04:30:00,798,940,708,633,8
2021-07-02 04:35:00,915,798,940,708,633
2021-07-02 04:40:00,198,915,798,940,708
2021-07-02 04:45:00,238,198,915,798,940
2021-07-02 04:50:00,662,238,198,915,798
2021-07-02 04:55:00,854,662,238,198,915
2021-07-02 05:00:00,823,854,662,238,198
2021-07-02 05:05:00,67,823,854,662,238
2021-07-02 05:10:00,940,67,823,854,662
2021-07-02 05:15:00,962,940,67,823,854
2021-07-02 05:20:00,908,962,940,67,823
2021-07-02 05:25:00,25,908,962,940,67
2021-07-02 05:30:00,469,25,908,962,940
2021-07-02 05:35:00,766,469,25,908,962
2021-07-02 05:40:00,836,766,469,25,908
2021-07-02 05:45:00,659,836,766,469,25
2021-07-02 05:50:00,783,659,836,766,469
2021-07-02 05:55:00,528,783,659,836,766
2021-07-02 06:00:00,579,528,783,659,836
2021-07-02 06:05:00,426,579,528,783,659
2021-07-02 06:10:00,477,426,579,528,783
2021-07-02 06:15:00,899,477,426,579,528
2021-07-02 06:20:00,347,899,477,426,579
2021-07-02 06:25:00,741,347,899,477,426
2021-07-02 06:30:00,498,741,347,899,477
2021-07-02 06:35:00,240,498,741,347,899
2021-07-02 06:40:00,230,240,498,741,347
2021-07-02 06:45:00,471,230,240,498,741
2021-07-02 06:50:00,475,471,230,240,498
2021-07-02 06:55:00,152,475,471,230,240
2021-07-02 07:00:00,804,152,475,471,230
2021-07-02 07:05:00,818,804,152,475,471
2021-07-02 07:10:00,139,818,804,152,475
2021-07-02 07:15:00,15,139,818,804,152
2021-07-02 07:20:00,962,15,139,818,804
2021-07-02 07:25:00,876,962,15,139,818
2021-07-02 07:30:00,99,876,962,15,139
2021-07-02 07:35:00,696,99,876,962,15
2021-07-02 07:40:00,340,696,99,876,962
2021-07-02 07:45:00,969,340,696,99,876
2021-07-02 07:50:00,472,969,340,696,99
2021-07-02 07:55:00,970,472,969,340,696
2021-07-02 08:00:00,452,970,472,969,340
2021-07-02 08:05:00,154,452,970,472,969
2021-07-02 08:10:00,976,154,452,970,472
2021-07-02 08:15:00,943,976,154,452,970
2021-07-02 08:20:00,18,943,976,154,452
2021-07-02 08:25:00,30,18,943,976,154
2021-07-02 08:30:00,757,30,18,943,976
2021-07-02 08:35:00,810,757,30,18,943
2021-07-02 08:40:00,119,810,757,30,18
2021-07-02 08:45:00,701,119,810,757,30
2021-07-02 08:50:00,804,701,119,810,757
2021-07-02 08:55:00,81,804,701,119,810
2021-07-02 09:00:00,825,81,804,701,119
2021-07-02 09:05:00,404,825,81,804,701
2021-07-02 09:10:00,193,404,825,81,804
2021-07-02 09:15:00,180,193,404,825,81
2021-07-02 09:20:00,186,180,193,404,825
2021-07-02 09:25:00,82,186,180,193,404
2021-07-02 09:30:00,880,82,186,180,193
2021-07-02 09:35:00,682,880,82,186,180
2021-07-02 09:40:00,484,682,880,82,186
2021-07-02 09:45:00,82,484,682,880,82
2021-07-02 09:50:00,881,82,484,682,880
2021-07-02 09:55:00,117,881,82,484,682
2021-07-02 10:00:00,204,117,881,82,484
2021-07-02 10:05:00,661,204,117,881,82
2021-07-02 10:10:00,705,661,204,117,881
2021-07-02 10:15:00,905,705,661,204,117
2021-07-02 10:20:00,698,905,705,661,204
2021-07-02 10:25:00,590,698,905,705,661
2021-07-02 10:30:00,787,590,698,905,705
2021-07-02 10:35:00,858,787,590,698,905
2021-07-02 10:40:00,944,858,787,590,698
2021-07-02 10:45:00,244,944,858,787,590
2021-07-02 10:50:00,492,244,944,858,787
2021-07-02 10:55:00,78,492,244,944,858
2021-07-02 11:00:00,92,78,492,244,944
2021-07-02 11:05:00,207,92,78,492,244
2021-07-02 11:10:00,103,207,92,78,492
2021-07-02 11:15:00,348,103,207,92,78
2021-07-02 11:20:00,576,348,103,207,92
2021-07-02 11:25:00,597,576,348,103,207
2021-07-02 11:30:00,290,597,576,348,103
2021-07-02 11:35:00,946,290,597,576,348
2021-07-02 11:40:00,836,946,290,597,576
2021-07-02 11:45:00,543,836,946,290,597
2021-07-02 11:50:00,953,543,836,946,290
2021-07-02 11:55:00,844,953,543,836,946
2021-07-02 12:00:00,678,844,953,543,836
2021-07-02 12:05:00,394,678,844,953,543
2021-07-02 12:10:00,602,394,678,844,953
2021-07-02 12:15:00,484,602,394,678,844
2021-07-02 12:20:00,638,484,602,394,678
2021-07-02 12:25:00,704,638,484,602,394
2021-07-02 12:30:00,439,704,638,484,602
2021-07-02 12:35:00,258,439,704,638,484
2021-07-02 12:40:00,210,258,439,704,638
2021-07-02 12:45:00,536,210,258,439,704
2021-07-02 12:50:00,220,536,210,258,439
2021-07-02 12:55:00,130,220,536,210,258
2021-07-02 13:00:00,222,130,220,536,210
2021-07-02 13:05:00,965,222,130,220,536
2021-07-02 13:10:00,749,965,222,130,220
2021-07-02 13:15:00,195,749,965,222,130
2021-07-02 13:20:00,461,195,749,965,222
2021-07-02 13:25:00,756,461,195,749,965
2021-07-02 13:30:00,255,756,461,195,749
2021-07-02 13:35:00,235,255,756,461,195
2021-07-02 13:40:00,155,235,255,756,461
2021-07-02 13:45:00,784,155,235,255,756
2021-07-02 13:50:00,428,784,155,235,255
2021-07-02 13:55:00,346,428,784,155,235
2021-07-02 14:00:00,879,346,428,784,155
2021-07-02 14:05:00,468,879,346,428,784
2021-07-02 14:10:00,971,468,879,346,428
2021-07-02 14:15:00,890,971,468,879,346
2021-07-02 14:20:00,530,890,971,468,879
2021-07-02 14:25:00,546,530,890,971,468
2021-07-02 14:30:00,721,546,530,890,971
2021-07-02 14:35:00,13,721,546,530,890
2021-07-02 14:40:00,69,13,721,546,530
2021-07-02 14:45:00,222,69,13,721,546
2021-07-02 14:50:00,476,222,69,13,721
2021-07-02 14:55:00,404,476,222,69,13
2021-07-02 15:00:00,307,404,476,222,69
2021-07-02 15:05:00,283,307,404,476,222
2021-07-02 15:10:00,821,283,307,404,476
2021-07-02 15:15:00,126,821,283,307,404
2021-07-02 15:20:00,446,126,821,283,307
2021-07-02 15:25:00,566,446,126,821,283
2021-07-02 15:30:00,18,566,446,126,821
2021-07-02 15:35:00,123,18,566,446,126
2021-07-02 15:40:00,601,123,18,566,446
2021-07-02 15:45:00,150,601,123,18,566
2021-07-02 15:50:00,46,150,601,123,18
2021-07-02 15:55:00,694,46,150,601,123
2021-07-02 16:00:00,648,694,46,150,601
2021-07-02 16:05:00,182,648,694,46,150
2021-07-02 16:10:00,482,182,648,694,46
2021-07-02 16:15:00,556,482,182,648,694
2021-07-02 16:20:00,277,556,482,182,648
2021-07-02 16:25:00,144,277,556,482,182
2021-07-02 16:30:00,795,144,277,556,482
2021-07-02 16:35:00,426,795,144,277,556
2021-07-02 16:40:00,594,426,795,144,277
2021-07-02 16:45:00,629,594,426,795,144
2021-07-02 16:50:00,762,629,594,426,795
2021-07-02 16:55:00,922,762,629,594,426
2021-07-02 17:00:00,641,922,762,629,594
2021-07-02 17:05:00,853,641,922,762,629
2021-07-02 17:10:00,750,853,641,922,762
2021-07-02 17:15:00,799,750,853,641,922
2021-07-02 17:20:00,191,799,750,853,641
2021-07-02 17:25:00,939,191,799,750,853
2021-07-02 17:30:00,984,939,191,799,750
2021-07-02 17:35:00,812,984,939,191,799
2021-07-02 17:40:00,620,812,984,939,191
2021-07-02 17:45:00,23,620,812,984,939
2021-07-02 17:50:00,914,23,620,812,984
2021-07-02 17:55:00,166,914,23,620,812
2021-07-02 18:00:00,563,166,914,23,620
2021-07-02 18:05:00,833,563,166,914,23
2021-07-02 18:10:00,902,833,563,166,914
2021-07-02 18:15:00,922,902,833,563,166
2021-07-02 18:20:00,89,922,902,833,563
2021-07-02 18:25:00,954,89,922,902,833
2021-07-02 18:30:00,917,954,89,922,902
2021-07-02 18:35:00,161,917,954,89,922
2021-07-02 18:40:00,313,161,917,954,89
2021-07-02 18:45:00,894,313,161,917,954
2021-07-02 18:50:00,20,894,313,161,917
2021-07-02 18:55:00,176,20,894,313,161
2021-07-02 19:00:00,677,176,20,894,313
2021-07-02 19:05:00,54,677,176,20,894
2021-07-02 19:10:00,202,54,677,176,20
2021-07-02 19:15:00,57,202,54,677,176
2021-07-02 19:20:00,832,57,202,54,677
2021-07-02 19:25:00,669,832,57,202,54
2021-07-02 19:30:00,985,669,832,57,202
2021-07-02 19:35:00,350,985,669,832,57
2021-07-02 19:40:00,225,350,985,669,832
2021-07-02 19:45:00,357,225,350,985,669
2021-07-02 19:50:00,595,357,225,350,985
2021-07-02 19:55:00,556,595,357,225,350
2021-07-02 20:00:00,876,556,595,357,225
2021-07-02 20:05:00,552,876,556,595,357
2021-07-02 20:10:00,410,552,876,556,595
2021-07-02 20:15:00,188,410,552,876,556
2021-07-02 20:20:00,194,188,410,552,876
2021-07-02 20:25:00,231,194,188,410,552
2021-07-02 20:30:00,916,231,194,188,410
2021-07-02 20:35:00,932,916,231,194,188
2021-07-02 20:40:00,523,932,916,231,194
2021-07-02 20:45:00,314,523,932,916,231
2021-07-02 20:50:00,427,314,523,932,916
2021-07-02 20:55:00,677,427,314,523,932
2021-07-02 21:00:00,108,677,427,314,523
2021-07-02 21:05:00,839,108,677,427,314
2021-07-02 21:10:00,285,839,108,677,427
2021-07-02 21:15:00,13,285,839,108,677
2021-07-02 21:20:00,465,13,285,839,108
2021-07-02 21:25:00,114,465,13,285,839
2021-07-02 21:30:00,590,114,465,13,285
2021-07-02 21:35:00,676,590,114,465,13
2021-07-02 21:40:00,417,676,590,114,465
2021-07-02 21:45:00,853,417,676,590,114
2021-07-02 21:50:00,58,853,417,676,590
2021-07-02 21:55:00,414,58,853,417,676
2021-07-02 22:00:00,241,414,58,853,417
2021-07-02 22:05:00,962,241,414,58,853
2021-07-02 22:10:00,367,962,241,414,58
2021-07-02 22:15:00,194,367,962,241,414
2021-07-02 22:20:00,924,194,367,962,241
2021-07-02 22:25:00,22,924,194,367,962
2021-07-02 22:30:00,753,22,924,194,367
2021-07-02 22:35:00,630,753,22,924,194
2021-07-02 22:40:00,537,630,753,22,924
2021-07-02 22:45:00,244,537,630,753,22
2021-07-02 22:50:00,462,244,537,630,753
2021-07-02 22:55:00,511,462,244,537,630
2021-07-02 23:00:00,152,511,462,244,537
2021-07-02 23:05:00,871,152,511,462,244
2021-07-02 23:10:00,698,871,152,511,462
2021-07-02 23:15:00,253,698,871,152,511
2021-07-02 23:20:00,671,253,698,871,152
2021-07-02 23:25:00,890,671,253,698,871
2021-07-02 23:30:00,672,890,671,253,698
2021-07-02 23:35:00,37,672,890,671,253
2021-07-02 23:40:00,207,37,672,890,671
2021-07-02 23:45:00,758,207,37,672,890
2021-07-02 23:50:00,196,758,207,37,672
2021-07-02 23:55:00,191,196,758,207,37
2021-07-03 00:00:00,625,191,196,758,207
2021-07-03 00:05:00,169,625,191,196,758
2021-07-03 00:10:00,866,169,625,191,196
2021-07-03 00:15:00,513,866,169,625,191
2021-07-03 00:20:00,172,513,866,169,625
2021-07-03 00:25:00,979,172,513,866,169
2021-07-03 00:30:00,565,979,172,513,866
2021-07-03 00:35:00,593,565,979,172,513
2021-07-03 00:40:00,250,593,565,979,172
2021-07-03 00:45:00,892,250,593,565,979
2021-07-03 00:50:00,223,892,250,593,565
2021-07-03 00:55:00,547,223,892,250,593
2021-07-03 01:00:00,315,547,223,892,250
2021-07-03 01:05:00,704,315,547,223,892
2021-07-03 01:10:00,516,704,315,547,223
2021-07-03 01:15:00,553,516,704,315,547
2021-07-03 01:20:00,542,553,516,704,315
2021-07-03 01:25:00,818,542,553,516,704
2021-07-03 01:30:00,414,818,542,553,516
2021-07-03 01:35:00,11,414,818,542,553
2021-07-03 01:40:00,920,11,414,818,542
2021-07-03 01:45:00,405,920,11,414,818
2021-07-03 01:50:00,179,405,920,11,414
2021-07-03 01:55:00,105,179,405,920,11
2021-07-03 02:00:00,527,105,179,405,920
2021-07-03 02:05:00,63,527,105,179,405
